STATE,group,X,Y
AK,216,-151.52927633546318,59.649346839438124
AK,256,-135.3335679231903,57.05265768796041
AK,323,-132.37769005894052,56.46947335317285
AK,1399,-162.59287928525558,66.89647257681352
AK,2352,-152.3730831192618,57.804569751945316
AK,2771,-156.78605765506458,71.29215192214917
AK,2774,-149.4390400592622,60.103127838533815
AK,2775,-156.65790464187378,58.690437545160286
AK,2778,-160.49550502989317,55.34106825231719
AK,3007,-158.46637398594416,59.04090818747868
AK,3030,-149.1100528034968,61.60225038191448
AK,3031,-150.081915761408,61.41729208757396
AK,3033,-149.57910508282782,61.302662788689275
AK,3034,-165.4135643221697,64.53765053783545
AK,3035,-134.48405545805767,58.362606366142664
AK,3036,-131.6493565606097,55.34829905322854
AK,3037,-150.00844788432167,61.3603062389961
AK,3194,-149.33417846105846,60.093111370885715
AK,3280,-149.8562423511104,61.21842094462589
AK,3289,-151.30118264982312,60.58383033917374
AK,3310,-161.78734745292925,60.78621800284421
AK,3330,-147.75857565977032,64.83306443503004
AK,3483,-133.15203788588082,55.47573974560601
AK,3485,-166.541933818897,53.87132625686141
AL,193,-87.89666361782419,30.60002175771925
AL,198,-87.68186898036194,30.413399000021045
AL,326,-86.4744348483432,32.46397012307648
AL,327,-87.7744277724047,30.885051807579064
AL,328,-87.16048822012336,32.9213900354371
AL,336,-85.67796970049899,34.153051116681866
AL,337,-86.62558435326103,32.836224549014226
AL,338,-85.40357930857573,32.8993797600857
AL,341,-85.56926975919072,33.65825085824527
AL,342,-88.22280885733021,32.0885578767872
AL,343,-85.85667074688283,33.273153469005024
AL,346,-87.70316174055695,34.73164154459334
AL,350,-86.95407086271445,31.436213557769214
AL,354,-86.22106081195447,32.889755758452
AL,373,-86.50299955372819,31.312241345706802
AL,1346,-85.83303730715653,33.656765058268306
AL,1388,-87.72850631537202,34.50776673876535
AL,1397,-86.84290146898957,33.28970947525009
AL,2341,-85.63718229526127,31.45092381734024
AL,2344,-86.9435910579267,32.44289260786869
AL,2355,-85.77275231277433,34.41818740450986
AL,2356,-86.19414639390169,32.56360098797863
AL,2358,-87.83209735086577,33.68510406660264
AL,2363,-86.20927857378742,34.26806873712912
AL,2365,-87.7291065136267,34.47449407007068
AL,2366,-87.86391105555539,32.84238421903957
AL,2368,-85.24859724555057,31.57029883182146
AL,2374,-85.38038249933192,31.224020657568282
AL,2381,-86.81631259949427,33.24537907735827
AL,2387,-85.39187908111222,31.225369823011093
AL,2388,-86.04678953068411,34.66557110890272
